Seq,Task ID,Title,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Priority,Verify,Detail File,wave_id
57,API-ADMIN-SETTINGS,외부 URL 허용목록 설정,API,IMPLEMENT,REQ-FUNC-077,SCR-005,`/account`,-,DB-ACCESS,`src/lib/actions/admin-settings.ts`,P0,"TEST-RLS-BASIC, UNIT-MATE-STATE, E2E-MATE-AUTH",TASK-API-ADMIN-SETTINGS.md,W06
58,UNIT-TRAVEL-DATES,"날짜 검증 유닛 테스트(출발/귀국, 체크인/체크아웃)",Unit Test,IMPLEMENT,"REQ-FUNC-013, REQ-FUNC-021",SCR-003,`/travel-tools`,-,"COMP-SCR003-FLIGHT-FORM, COMP-SCR003-HOTEL-FORM",`tests/unit/travel-dates.test.ts`,P0,CI-QUALITY-GATE,TASK-UNIT-TRAVEL-DATES.md,W27
59,UNIT-CONTACT-DETECTION,연락처 패턴 탐지 유닛 테스트,Unit Test,IMPLEMENT,REQ-FUNC-032,SCR-003,`/travel-tools`,-,COMP-SCR003-MATE-WRITE-FORM,`tests/unit/contact-detection.test.ts`,P0,CI-QUALITY-GATE,TASK-UNIT-CONTACT-DETECTION.md,W27
60,UNIT-MATE-STATE,동행 상태 전이 유닛 테스트(PENDING/ACCEPTED/REJECTED/CLOSED),Unit Test,IMPLEMENT,"REQ-FUNC-035, REQ-FUNC-036, REQ-FUNC-037, REQ-FUNC-038",SCR-004,`/mates`,-,"API-MATE-POSTS, API-MATE-APPLICATIONS",`tests/unit/mate-state.test.ts`,P0,CI-QUALITY-GATE,TASK-UNIT-MATE-STATE.md,W27
61,TEST-RLS-BASIC,RLS 정책 기본 접근 테스트,Integration Test,IMPLEMENT,"REQ-FUNC-044, REQ-NF-013","SCR-004, SCR-005","`/mates`, `/account`",-,"DB-RLS-BASE, DB-SEED-BASE",`tests/integration/rls-basic.test.ts`,P0,CI-QUALITY-GATE,TASK-TEST-RLS-BASIC.md,W27
62,E2E-PUBLIC-SMOKE,공개 흐름 Smoke(여행지 탐색·안전정보·대표소개),E2E Test,IMPLEMENT,"REQ-FUNC-001, REQ-FUNC-002, REQ-FUNC-003, REQ-FUNC-005, REQ-FUNC-006, REQ-FUNC-009, REQ-FUNC-047, REQ-FUNC-050, REQ-FUNC-051, REQ-FUNC-057, REQ-FUNC-059, REQ-FUNC-060, REQ-FUNC-063, REQ-NF-023, REQ-NF-025, REQ-NF-030","SCR-001, SCR-002","`/`, `/about`",-,"PAGE-SCR001, PAGE-SCR002",`tests/e2e/public-smoke.spec.ts`,P0,CI-QUALITY-GATE,TASK-E2E-PUBLIC-SMOKE.md,W26
63,E2E-TRAVEL-TOOLS,항공·숙소 흐름 E2E,E2E Test,IMPLEMENT,"REQ-FUNC-011, REQ-FUNC-012, REQ-FUNC-013, REQ-FUNC-014, REQ-FUNC-015, REQ-FUNC-016, REQ-FUNC-017, REQ-FUNC-018, REQ-FUNC-019, REQ-FUNC-020, REQ-FUNC-021, REQ-FUNC-022, REQ-FUNC-023, REQ-FUNC-024, REQ-FUNC-025, REQ-FUNC-026, REQ-FUNC-054",SCR-003,`/travel-tools`,-,PAGE-SCR003,`tests/e2e/travel-tools.spec.ts`,P0,CI-QUALITY-GATE,TASK-E2E-TRAVEL-TOOLS.md,W26
64,E2E-MATE-AUTH,로그인+동행 작성/참가 흐름 E2E,E2E Test,IMPLEMENT,"REQ-FUNC-027, REQ-FUNC-028, REQ-FUNC-030, REQ-FUNC-031, REQ-FUNC-034, REQ-FUNC-035, REQ-FUNC-036, REQ-FUNC-039, REQ-FUNC-040, REQ-FUNC-066","SCR-003, SCR-004, SCR-005","`/travel-tools`, `/mates`, `/account`",-,"PAGE-SCR003, PAGE-SCR004, PAGE-SCR005",`tests/e2e/mate-auth.spec.ts`,P0,CI-QUALITY-GATE,TASK-E2E-MATE-AUTH.md,W26
65,MANUAL-RESPONSIVE-DENSITY,Desktop 1440px/Mobile 390px 콘텐츠 밀도 육안 확인,Manual Check,IMPLEMENT,REQ-FUNC-065,"SCR-001, SCR-003","`/`, `/travel-tools`",-,"PAGE-SCR001, PAGE-SCR003","없음(체크리스트만, `TASKS/checks/responsive-density.md`)",P1,없음(Manual Check 자체가 검증 수단),TASK-MANUAL-RESPONSIVE-DENSITY.md,W27
66,MANUAL-ACCESSIBILITY-KEYBOARD,키보드 내비게이션·스크린리더 수동 점검,Manual Check,IMPLEMENT,"REQ-FUNC-079, REQ-NF-023, REQ-NF-025",전역,전체,-,COMP-GLOBAL-HEADER-FOOTER,"없음(체크리스트만, `TASKS/checks/accessibility.md`)",P1,없음(Manual Check 자체가 검증 수단),TASK-MANUAL-ACCESSIBILITY-KEYBOARD.md,W26
67,MANUAL-PERFORMANCE-LIGHTHOUSE,Lighthouse 수동 측정(LCP/INP/CLS),Manual Check,IMPLEMENT,"REQ-NF-001, REQ-NF-002, REQ-NF-003, REQ-NF-006",전역,전체,-,PAGE-SCR001~005(배포 후),"없음(측정 리포트만, `TASKS/checks/lighthouse.md`)",P1,없음(Manual Check 자체가 검증 수단),TASK-MANUAL-PERFORMANCE-LIGHTHOUSE.md,W26
68,CI-QUALITY-GATE,TypeScript strict·ESLint·Playwright 병합 전 게이트,CI/Infra,IMPLEMENT,REQ-NF-031,전역,전체,-,"UNIT-*, TEST-RLS-BASIC, E2E-*","`.github/workflows/ci.yml` 또는 동등 설정, `package.json`(scripts 추가)",P0,CI 실행 로그,TASK-CI-QUALITY-GATE.md,W28
69,RELEASE-CHECK-VERCEL-SUPABASE,Vercel 배포+Supabase 환경변수/TLS/비용 확인,CI/Infra,IMPLEMENT,"REQ-NF-012, REQ-NF-016, REQ-NF-034",전역,전체,-,"DB-SCHEMA-BASE, DB-RLS-BASE",`TASKS/checks/release-vercel-supabase.md`,P1,CI 실행 로그,TASK-RELEASE-CHECK-VERCEL-SUPABASE.md,W29
